review
"今早收到邮件瞬间不太好了 。今早先是收到一封“外泌体研究策略”培训班的邮件，因我今年申请的就是肿瘤微环境中外泌体功能相关的课题，所以感觉是不是预示着什么，但后来一想可能也仅仅是个培训班推送就没往心里去。结果，过了一会又收到一封“肿瘤微环境国自然选题及撰写专题会议”，瞬间石化。哎，我是不是悬了？ 基金申请 自然科学基金申报"""
"国自然哪天出结果？ 。国自然哪天出结果？ 基金申请 自然科学基金申报"""
"XinYuSi曝光国家自然科学基金委员会包庇严重科研不端案件的电话录音 。曝光文章链接：'http://www.xys.org/xys/ebooks/others/science/dajia22/zhouxiaohong6.txt'。YouTube上录音链接：'https://www.youtube.com/watch?v=pRLwr8CmScU'；微博上录音链接：'https://weibo.com/u/7019667452'。涉事项目结题报告全文拷贝链接：'https://www.doc88.com/p-17516081971628.html'。新浪、网易、搜狐、腾讯、百度均对基金委包庇这起严重科研不端案件有报道，链接：'https://new.qq.com/r... 基金申请 经验体会"""
"2021年联合基金重点（含叶企孙基金）答辩通知发了吗？ 。2021年联合基金重点（含叶企孙基金）答辩通知发了吗？ 基金申请 自然科学基金申报"""
"貌似好像真的没有几个人能提前知道结果 。问了身边几个可能有渠道知道的但是也都不知道 基金申请 社科基金"""
"祈福社科基金今天能公布 。为自己和战友们祈福好消息 基金申请 社科基金"""
"做人真难 。中考，高考，英语四六级，考研，考博，发论文等审稿消息，博士毕业，申请基金。。。。啥时候是个头呢？ 基金申请 自然科学基金申报"""
"三无人员祈福 。我肯定是三无，不过三无是哪三无？ 基金申请 祈福道贺"""
"求证一下，评审按照二级代码函评和会评的吗？ 。我看推送里这么说的。求证一下。会评专家就那么10几个，按二级代码分好像不够埃函评是不是也是按一级代码混着发送到。？？ 基金申请 自然科学基金申报"""
"调查：假如中国家社科基金的话，所在学校现在还奖励吗？奖励多少钱？ 。调查：假如中国家社科基金的话，所在学校现在还奖励吗？奖励多少钱？ 基金申请 社科基金  小木虫 论坛"""
"今年的浦江，大家有消息了吗？ 。今年的上海浦江计划，大家有消息了吗？啥时候才会有面评审通知呀。来木虫沾点喜气，求好运 基金申请 祈福道贺"""
"顶多还有10天就放榜，撒币祈福 。期待青基有个好结果，也祝福虫友们都能高中，实验顺利。 基金申请 祈福道贺"""
"【设想】如果国社科增加自筹经费部分，大家会不会觉得竞争能没这么惨烈了？ 。这几天一直在等待结果，每天焦虑中。都知道国社科的重要性不可取代，忽然冒出一个设想来，如果将国家单独划出部分自费项目，这种情况下大家是否还依然积极争取呢？也就是说，哪怕自费上，课题也要拿下来呢？不知道基金委以后会不会有这方面改变，这样的话，中标的概率是不是就大多了，而且没这么难了呢？[Lasteditedbyjojothuon2021-8-9at14:04] 基金申请 社科基金"""
"其他基金申报推荐 。前两年申请，邮箱都收到了其他基金申报推荐，结果都没上会。今年到目前为止未收到任何基金推荐，能说明一些问题不？代码：608dFS02202102 基金申请 自然科学基金申报"""
"课题、论文与科研水平关系之我见 。尊敬的各位科研同仁：进入科研多年，回顾过去提出自己个人关于课题、论文与科研关系的肤浅看法，供大家评说！课题申请核心在于提出创新的研究idea，提供立题的依据、把握科学关键问题、规划研究目标、提出可行研究方法；论文重在将自己科研创新成果呈现给读者以推广应用发挥价值；鉴于此，个人认为只有基于对专业负责和推动专业领域进步的课题与相应论文才能称得上真正的科研，可而现今社会浮躁，科研环境参杂过多功利心，导致量与质的严重失调，国家“卡脖子”的科技现象依旧难以得到解决！个人期望更多科研工作者应该本着为中国民族伟大复兴使命，齐心协力改变现有科研现状，立足推动中国科研水平而潜心于实实在在解决实际需求的科学研究！ 基金申请 经验体会"""
"在海外读博士后能申请博士后基金项目吗 。在海外读博士后能申请博士后基金项目吗 基金申请 自然科学基金申报  小木虫 论坛"""
"博后基金项目来源问题 。问一下，这个项目来源是自选好，还是写自主获得的基金项目好呢，影响大不大？ 基金申请 博后基金"""
"闭幕了！ 。昨天，奥运会，闭幕了！此次奥运会，本人有两点体会：1.开幕几天了，我是回老家，到亲戚家，经亲戚提醒，才知道那天中国队已获3枚金牌。也就是说，她不提醒，我都忘记这事了，很是感慨！曾记否！自己也是当年万人空巷看奥运中的一员。2.另一天，到另一亲戚，才有时间和他们一起看比赛。那天刚好是举重比赛。好家伙，竞争真是残酷！你举100，我举110，你举110，我举120。最终由大力士大公斤数完胜。而乒乓球比赛，选手们个个冒汗，凝神静气，你来我往，气氛紧张。而那完美的跳水，也是异常艰苦训练的结果。参与竞争久了，竟怕起竞争来了，见不得残酷的竞争，思绪翻滚！当然了，中国健儿好样的，可喜可贺！8月，国自然即将揭榜，... 基金申请 经验体会"""
"估计凉了 。迄今为止没消息，估计凉了。。 基金申请 自然科学基金申报"""
"散金攒人品 。三无人员，基金申请了很多年了，都没中。今年提前散金吧，希望一切都好，也祝福大家一切都好。 基金申请 祈福道贺"""
"2021基金中标率 。Q：10、今年的国自然申请大概中标率是多少？A：回答：无论8月最终放榜结果如何，今年的27万多份申请都会有80%-85%无法获得资助。 基金申请 基金快讯"""
"祈祷 。祈祷 基金申请 自然科学基金申报  小木虫 论坛"""
"关于任何职称显示的都是result &quot;OK&quot;的现象 。本人2016年入职某高校，2017年8月主持获批国自然青年项目，执行期为2018-2020,2018年12月晋升副教授，2021年初青年基金结题，2021今年申报了面上项目。现在为副教授职称，显示青年基金的信息，结果如下：result&quot;ok&quot;prjInfopsnCodeXXXpsnName&quot;XXX&quot;prjName&quot;XXXXX&quot;prjCode&quot;XXX&quot;prjNo&quot;XXX&quot;endDateXXX如果改成教授，结果相同如果改成讲师，结果如下：result&quot;ok&quot;prjInfoPROF... 基金申请 自然科学基金申报"""
"喜中教育部人文社科 。申请了三次，终于得中！ 基金申请 祈福道贺"""
"小木虫里应该有函评专家吧？ 。小木虫里应该有函评专家吧？来帮忙分析下虫友关于漏洞的各种疑问？或者给点积极的意见？谢谢大佬们！！！ 基金申请 自然科学基金申报"""
"这种基础研究的本子，中的几率大吗？请大佬指点 。本人搞纯理论研究，就是推公式然后数值编程，本子中也会有实验验证方案和有限元验证建模的方案。方法上创新不大，都是传统方法，在之前发表论文中都已经用过这些方法，比如积分方程法，积分变换法啥的。没有什么神经网络算法啥的先进的新算法。处理问题上有创新：1、多场物理耦合多了一个物理场，边界条件变。2、提出“很少有人解决的一个模型”的解决方法，因为这个模型边界处理比较麻烦3、研究了非均匀材料结构的解法。对于材料参数，假设材料参数随几何参数.是一个简单的表达式能想到的就是这些。希望大佬指出问题。 基金申请 疑难解答"""
"有一类社科研究既没有面向国家重大需求，还高额购买国外设备测数据疯狂水论文 。对于社科研究的立项研究，要问两个问题：1.这个社科研究项目是在解决国家的重大需求吗？2.高额购买国外设备测数据疯狂水论文有意义吗？国外生产该设备的国家都不这么干'https://mp.weixin.qq.com/s/kylJUesmwBIBS5jWhGhNog' 基金申请 经验体会"""
"祈福 。祈福 基金申请 祈福道贺  小木虫 论坛"""
"尽管都不靠谱，来说说你倾向的bug吧，缓解下紧张心情 。我觉得202102是个比较好的函评，但是好的不代表一定能中，因为要整个口综合看，有的口就是特别强。另外，我觉得系统维护可能好的结果多。 基金申请 自然科学基金申报"""
"Fundmanage网页法查询结果 。输入网址'https://isisn.nsfc.gov.cn/egrantweb/FundManage/list-prp-sbr'，显示无权限。 基金申请 经验体会"""
"去年的911和914漏洞，今年有查到的么？ 。去年911和914出现的漏洞，我是914查到的，今年还有用么？分享给大家试试看，链接如下：'https://isisn.nsfc.gov.cn/egrantweb/project/query/appropriate' 基金申请 基金快讯"""
"吐槽下 。最后一年申请青基，三无人员，焦急等待中，也不知结果如何。ps：一直被领导鄙视，被压榨，无论做了多少工作，出了多少成果，最近一直让改方向，唉，真想去他大爷的老子不玩了！ 基金申请 自然科学基金申报"""
"求祝福 。医学口09方向，第四年，面上，博士毕业晚，没有青年的机会，985附属，sci20篇，2区一半，无1区和top，if最高5.5，其余都是在4.0左右徘徊（今年if膨胀之前），有省市级优杰青，有省级自然基金2个和一堆市级项目，今年代码608dfs01202112，给的一些bug入口，有些能进有些不能进，至于时间代码，完全不懂，19年地区、20年面上都是上会挂，今年求祝福，否则真的要被人摩擦啦 基金申请 祈福道贺"""
"祈福 。祈福 基金申请 自然科学基金申报  小木虫 论坛"""
"关于kyzy的北京阅读 。会评当天有阅读，会评结束的第十天左右，也有阅读，有没有已知中了的或挂了的？会评当天有阅读，会评后没有阅读，有没有已知中了的或挂了的？ 基金申请 经验体会"""
"祈祷 。祈祷 基金申请 祈福道贺  小木虫 论坛"""
"2021年放榜时间 。每天都要看一遍小木虫，总感觉这里会比系统还早知道结果。烧心埃哪位道友可以有理有据讲一下啥时候公布吗？ 基金申请 自然科学基金申报"""
"散1000金币祈祷高中 。三无人员焦急等待中，散1000金币祈祷大家都能高中。 基金申请 祈福道贺"""
"散金祈福 。人就是不知足，拿了省级的帽子就难免觊觎国家级的帽子，明知自己水平尚逊，申了便总忍不住要幻想一下……希望能在放榜前维持内心平静（最近有没有什么好游戏啊）。 基金申请 祈福道贺"""
"来试试这个方法吧 。打开这个网页，把=后面换成其它id，去年可以显示出评审意见'https://isisn.nsfc.gov.cn/egrantweb/proposal/projectInfo/view-feedback?prjcodestr=2651453#opennewwindow' 基金申请 自然科学基金申报"""
"祈福个青基 。祈福个青基 基金申请 自然科学基金申报  小木虫 论坛"""
